Horodateur,Vous avez assisté à...,Le contenu est riche et intéressant.,Les objectifs du cours ont été bien définis,Je comprends bien l’importance du cours pour ma formation.,Les indications pour étudier la matière et pour préparer l’examen sont claires et suffisantes.,"Toutes les informations sur le cours (fonctionnement, évaluation, contact...) sont disponibles",Les supports de cours fournis sont suffisants et adéquats.,Le professeur présente la matière de façon claire et structurée.,"Le cours est bien équilibré entre éléments de théorie, exemples et applications.",Le rythme du cours est soutenu tout en permettant de suivre et de comprendre.,Le professeur a une bonne expression orale (volume et débit de la voix...).,Le cadre de l’enseignement vous permet d’intervenir librement / de vous sentir libre d’intervenir,Les exercices sont bien adaptés en nombre et degré de difficulté.,Les directives pour faire les exercices sont claires et adéquates.,"Les exigences, le temps nécessaire et l'organisation sont bien appropriés.","Je peux bien utiliser mes connaissances et mes capacités personnelles (responsabilité, esprit d'initiative, autonomie, réflexion).",Le nombre d'heures de travail hebdomadaire moyen que j’ai fourni pour ce cours en plus des heures du programme d'études (et du temps consacré aux TP) pour répondre aux attentes de l’enseignant est de :,La charge de travail en dehors du cours vous semble...,Vous avez l'impression que votre compréhension et maîtrise du cours est...,"Dans l’ensemble, vous estimez que cet enseignement est:",Points forts :,Points faibles :,Propositions d'amélioration :
01/11/2018 12:27:07,"La séance 1 (17/10), La séance 2 (31/10)",3,4,3,3,4,3,4,4,4,4,4,4,3,3,4,0,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Bon,"ineractif, système de point motive ",long jusqu'a 18h ,plus d'explication des programmes a l'oral et de chaque raisonnement 
01/11/2018 15:41:04,"La séance 1 (17/10), La séance 2 (31/10)",3,4,3,4,3,4,4,4,3,4,3,3,3,3,3,environ 30 min.,Appropriée,Bonne (je suis à l'aise la majeure partie du temps),Bon,"On voit de nouvelles choses, c'est intéressant.",Parfois un peu difficile de coder quand on en a jamais fait.,/
01/11/2018 17:38:43,"La séance 1 (17/10), La séance 2 (31/10)",3,4,3,2,4,2,3,3,3,4,4,3,2,3,3,environ 30 min.,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Bon,.,.,.
01/11/2018 18:06:32,"La séance 1 (17/10), La séance 2 (31/10)",4,4,3,3,3,2,3,3,3,3,2,2,2,3,4,0,Forte mais essentielle,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Bon,beaucoup de connaissances apportées,s'entraîner une fois par semaine me semble insuffisant ,donner quelques exercices facultatifs mais qui permettraient d'orienter les révisions pour les étudiants peu familiarisés avec le codage
02/11/2018 00:29:00,"La séance 1 (17/10), La séance 2 (31/10)",2,4,3,3,3,2,3,3,2,2,3,3,3,3,3,0,Appropriée,Mauvaise (je suis ne pas à l'aise la majeure partie du temps),Bon,L'aspect pratique du cours (dans l'apprentissage),Beaucoup de compétences compliquées où il faut être à l'aise,Mieux expliquer le sens des termes qu'on utilise dans le logiciel pour ainsi mieux comprendre la logique
02/11/2018 17:36:25,"La séance 1 (17/10), La séance 2 (31/10)",3,3,4,4,4,3,2,2,3,3,3,3,3,3,4,environ 30 min.,Appropriée,Bonne (je suis à l'aise la majeure partie du temps),Bon,Les exercices sont variés et permettent de tester par soi-même.,Certains points vont très vite et l'enseignant tape le code au tableau mais on n'a pas forcément le temps de tester nous-mêmes.,Laisser quelques secondes de plus pour pouvoir faire le code nous-mêmes sur l'ordinateur plutôt que de tout enchaîner parfois très vite
02/11/2018 18:24:35,La séance 1 (17/10),3,3,4,2,2,2,3,3,4,3,4,3,3,4,3,environ 1 heure,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Bon,.,.,Support de cours préalable
03/11/2018 00:51:09,La séance 1 (17/10),4,4,4,4,3,3,3,3,3,2,2,3,3,3,2,0,Appropriée,Bonne (je suis à l'aise la majeure partie du temps),Bon,Connaissances apportés ,Rythme irrégulier ,Adaptation du rythme en fonction de chancun 
05/11/2018 12:47:24,"La séance 1 (17/10), La séance 2 (31/10)",3,2,4,1,2,2,4,2,2,4,4,2,1,3,3,environ 30 min.,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Suffisant,très clair lors du premier cours,Trop peu clair et trop peu d'aide lors du second cours. Je ne comprenais pas tout ,Apporter plus d'aide lors des exercices 
07/11/2018 12:04:27,"La séance 1 (17/10), La séance 2 (31/10)",3,3,3,3,3,1,3,3,3,3,2,3,3,3,3,environ 1 heure,Appropriée,Bonne (je suis à l'aise la majeure partie du temps),Bon,applications pratiques ,notions vagues,encore plus d'applications pratiques 
07/11/2018 12:40:50,"La séance 1 (17/10), La séance 2 (31/10)",3,4,3,4,3,4,3,3,3,4,4,3,2,3,3,0,Appropriée,Bonne (je suis à l'aise la majeure partie du temps),Bon,Totalement nouveau pour moi,Assez difficile lorsqu’on ne connait rien à la programmation,Je sais pas
08/11/2018 21:30:08,"La séance 1 (17/10), La séance 2 (31/10)",3,3,3,3,2,3,2,3,3,3,3,3,2,3,3,environ 30 min.,Appropriée,Bonne (je suis à l'aise la majeure partie du temps),Bon,Encouragements d'entraide,"Cette entraide ne se produit surtout qu'au sein de chaque équipe, et non entre les différentes équipes",Plus encourager les groupes à s'entraider
09/11/2018 11:30:34,"La séance 1 (17/10), La séance 2 (31/10)",4,3,3,3,3,2,3,4,3,4,4,4,4,4,3,0,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Suffisant,L'apprentissage est plutôt ludique,"Je trouve que 3h (4H)  de cours est trop long pour avoir une concentration optimale sur un sujet nouveau, avec beaucoup d'informations à retenir",Pas d'idée mais les petits résumés des cours précédents sont utiles 
